,name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
0,Give Me Everything (feat. Nayer),86,4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4,hit
1,Heather,87,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,hit
2,The Middle,83,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,165853,4,hit
3,"What Was I Made For? [From The Motion Picture ""Barbie""]",91,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,hit
4,Flowers,91,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600,4,hit
5,No Te Quieren Conmigo,84,3Cx4BsDd4q0GCVBJ5CAw2K,0.76,0.646,6,-5.009,1,0.068,0.361,0.000109,0.254,0.576,97.917,252040,4,hit
6,Broken Clocks,83,2fXwCWkh6YG5zU1IyvQrbs,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4,hit
10,Demons,75,3LlAyCYU26dvFZBDUIMb7a,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,4,hit
11,Jungle,74,7JXZq0JgG2zTrSOAgY8VMC,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,320400,4,hit
12,Glimpse of Us,80,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3,hit
13,Better Now,80,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,4,hit
14,Hey Daddy (Daddy's Home),82,030OCtLMrljNhp8OWHBWW3,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,224093,4,hit
15,good 4 u,85,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,hit
16,Nonsense,87,6dgUya35uo964z7GZXM07g,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4,hit
17,E,64,1XBGTp6OqwYaYhemH3aMKT,0.657,0.736,9,-7.73,0,0.0768,0.0817,0.0,0.302,0.379,113.96,228827,4,hit
18,Set Fire to the Rain,80,73CMRj62VK8nUS4ezD2wvi,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,4,hit
19,Let You Down,80,52okn5MNA47tk87PeZJLEL,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,4,hit
20,Wake Me Up,86,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,hit
21,golden hour,80,5odlY52u43F5BjByhxg7wg,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,3,hit
22,Rich Baby Daddy (feat. Sexyy Red & SZA),88,1yeB8MUNeLo9Ek1UEpsyz6,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,319192,4,hit
23,YA YA,54,7rFqak8aULjGAiO0iuAH58,0.617,0.899,11,-5.471,1,0.203,0.331,0.0,0.511,0.798,151.967,274766,4,flop
32,Te Quiero,59,0yrvmIafnxkkMCMAIaDgiQ,0.61,0.734,1,-5.621,1,0.0332,0.006,0.0,0.26,0.477,84.019,198947,4,flop
57,Crystalised,59,33R3swWziWYmnDYvZqcZVS,0.762,0.484,11,-12.368,0,0.0311,0.812,0.389,0.0841,0.415,122.916,201947,4,flop
82,DESERT EAGLE,54,5v7Cm2PyrlJ1NIbVOvNcF5,0.691,0.489,0,-8.461,1,0.0539,0.645,1.61e-06,0.328,0.662,85.032,72449,4,flop
86,XS,58,1TWNKyNQOBfNUkWWs7FooF,0.635,0.929,2,-3.256,0,0.146,0.0854,1.14e-06,0.0822,0.59,117.039,201060,4,flop
102,TYRANT,59,3NtCIBBz5pEAVGeHL4h5mS,0.751,0.648,6,-4.21,1,0.183,0.083,0.0,0.585,0.813,126.032,250725,4,flop
